city,datetime,temp,humidity,weather,description,wind_speed,is_extreme
Detroit,2025-04-09 04:00:00,-0.36,70,Clear,clear sky,3.6,0
Detroit,2025-04-09 05:00:00,-1,73,Clear,clear sky,2.57,0
Detroit,2025-04-09 06:00:00,-1.6,76,Clear,clear sky,1.03,0
Detroit,2025-04-09 07:00:00,-1.83,77,Clear,clear sky,1.54,0
Detroit,2025-04-09 08:00:00,-2.84,81,Clear,clear sky,1.54,0
Detroit,2025-04-09 09:00:00,-3.23,83,Clear,clear sky,1.54,0
Detroit,2025-04-09 10:00:00,-3.5,86,Clear,clear sky,1.03,0
Detroit,2025-04-09 11:00:00,-3.09,85,Clear,clear sky,0,0
Detroit,2025-04-09 12:00:00,-1.7,79,Clouds,few clouds,2.06,0
Detroit,2025-04-09 13:00:00,1.53,67,Clear,clear sky,3.09,0
Detroit,2025-04-09 14:00:00,4.27,54,Clouds,scattered clouds,4.63,0
Detroit,2025-04-09 15:00:00,4.99,50,Clouds,few clouds,3.6,0
Detroit,2025-04-09 16:00:00,5.52,48,Clouds,overcast clouds,1.79,0
Detroit,2025-04-09 17:00:00,6.13,42,Clouds,few clouds,6.17,0
Detroit,2025-04-09 18:00:00,6.78,42,Clouds,scattered clouds,4.63,0
Detroit,2025-04-09 19:00:00,7.17,43,Clouds,few clouds,4.63,0
Detroit,2025-04-09 20:00:00,7.71,42,Clouds,overcast clouds,4.63,0
Detroit,2025-04-09 21:00:00,7.2,43,Clouds,few clouds,5.66,0
Detroit,2025-04-09 22:00:00,6.61,56,Clouds,overcast clouds,4.63,0
Detroit,2025-04-09 23:00:00,6.31,54,Clouds,overcast clouds,4.63,0
Detroit,2025-04-10 00:00:00,5.59,63,Clouds,overcast clouds,3.09,0
Detroit,2025-04-10 01:00:00,4.25,80,Rain,light rain,5.14,0
Detroit,2025-04-10 02:00:00,2.84,91,Rain,moderate rain,3.09,0
Detroit,2025-04-10 03:00:00,2.12,91,Rain,light rain,3.6,0
Detroit,2025-04-10 04:00:00,1.35,94,Snow,snow,3.09,0
New York,2025-04-09 04:00:00,2.4,38,Clear,clear sky,7.72,0
New York,2025-04-09 05:00:00,1.97,41,Clear,clear sky,5.66,0
New York,2025-04-09 06:00:00,1.66,43,Clear,clear sky,7.72,0
New York,2025-04-09 07:00:00,1.41,44,Clear,clear sky,6.17,0
New York,2025-04-09 08:00:00,1.18,45,Clear,clear sky,8.23,0
New York,2025-04-09 09:00:00,0.66,45,Clear,clear sky,8.23,0
New York,2025-04-09 10:00:00,0.43,48,Clear,clear sky,6.69,0
New York,2025-04-09 11:00:00,0.26,48,Clear,clear sky,6.69,0
New York,2025-04-09 12:00:00,0.58,47,Clear,clear sky,9.77,0
New York,2025-04-09 13:00:00,1.25,45,Clouds,few clouds,8.23,0
New York,2025-04-09 14:00:00,3.74,38,Clear,clear sky,4.63,0
New York,2025-04-09 15:00:00,4.22,35,Clear,clear sky,6.17,0
New York,2025-04-09 16:00:00,4.95,33,Clear,clear sky,5.66,0
New York,2025-04-09 17:00:00,6.13,30,Clear,clear sky,4.47,0
New York,2025-04-09 18:00:00,7.51,28,Clear,clear sky,4.02,0
New York,2025-04-09 19:00:00,8.31,26,Clear,clear sky,6.17,0
New York,2025-04-09 20:00:00,8.84,26,Clear,clear sky,4.92,0
New York,2025-04-09 21:00:00,9.37,25,Clear,clear sky,3.6,0
New York,2025-04-09 22:00:00,8.3,35,Clear,clear sky,6.26,0
New York,2025-04-09 23:00:00,6.31,48,Clear,clear sky,8.23,0
New York,2025-04-10 00:00:00,5.5,53,Clear,clear sky,7.72,0
New York,2025-04-10 01:00:00,5.44,55,Clear,clear sky,7.72,0
New York,2025-04-10 02:00:00,5.49,58,Clear,clear sky,6.17,0
New York,2025-04-10 03:00:00,5.51,64,Clear,clear sky,4.92,0
New York,2025-04-10 04:00:00,5.59,69,Clear,clear sky,3.6,0
Chicago,2025-04-09 04:00:00,2.44,66,Clouds,overcast clouds,3.09,0
Chicago,2025-04-09 05:00:00,2.73,63,Clouds,overcast clouds,4.12,0
Chicago,2025-04-09 06:00:00,2.64,59,Clouds,overcast clouds,3.6,0
Chicago,2025-04-09 07:00:00,2.31,57,Clouds,overcast clouds,3.09,0
Chicago,2025-04-09 08:00:00,1.93,57,Clouds,overcast clouds,4.12,0
Chicago,2025-04-09 09:00:00,1.99,56,Clouds,overcast clouds,3.6,0
Chicago,2025-04-09 10:00:00,1.98,57,Clouds,overcast clouds,3.6,0
Chicago,2025-04-09 11:00:00,1.53,62,Clouds,broken clouds,3.6,0
Chicago,2025-04-09 12:00:00,2.05,64,Clouds,broken clouds,4.63,0
Chicago,2025-04-09 13:00:00,3.23,63,Clouds,overcast clouds,4.12,0
Chicago,2025-04-09 14:00:00,4.51,63,Clouds,overcast clouds,4.63,0
Chicago,2025-04-09 15:00:00,4.32,65,Clouds,overcast clouds,5.66,0
Chicago,2025-04-09 16:00:00,4.48,66,Clouds,overcast clouds,6.69,0
Chicago,2025-04-09 17:00:00,4.75,66,Clouds,overcast clouds,6.17,0
Chicago,2025-04-09 18:00:00,5.03,67,Clouds,overcast clouds,4.02,0
Chicago,2025-04-09 19:00:00,5.26,67,Clouds,overcast clouds,5.66,0
Chicago,2025-04-09 20:00:00,5.45,68,Clouds,overcast clouds,6.69,0
Chicago,2025-04-09 21:00:00,6.04,56,Clouds,overcast clouds,5.66,0
Chicago,2025-04-09 22:00:00,5.53,68,Rain,light rain,4.12,0
Chicago,2025-04-09 23:00:00,4.99,75,Rain,moderate rain,4.12,0
Chicago,2025-04-10 00:00:00,4,83,Clouds,overcast clouds,3.6,0
Chicago,2025-04-10 01:00:00,3.53,89,Rain,light rain,1.34,0
Chicago,2025-04-10 02:00:00,3.4,91,Clouds,overcast clouds,1.79,0
Chicago,2025-04-10 03:00:00,3.42,92,Clouds,overcast clouds,1.34,0
Chicago,2025-04-10 04:00:00,3.62,93,Mist,mist,2.57,0
Miami,2025-04-09 04:00:00,22.19,88,Clouds,broken clouds,3.6,0
Miami,2025-04-09 05:00:00,21.22,87,Clouds,scattered clouds,7.72,0
Miami,2025-04-09 06:00:00,20.23,89,Clouds,broken clouds,7.72,0
Miami,2025-04-09 07:00:00,19.78,85,Clouds,overcast clouds,5.66,0
Miami,2025-04-09 08:00:00,19.63,83,Clouds,overcast clouds,4.63,0
Miami,2025-04-09 09:00:00,19.38,83,Clouds,overcast clouds,4.12,0
Miami,2025-04-09 10:00:00,19.33,84,Clouds,overcast clouds,2.06,0
Miami,2025-04-09 11:00:00,18.86,84,Clouds,overcast clouds,4.12,0
Miami,2025-04-09 12:00:00,18.56,84,Clouds,broken clouds,2.06,0
Miami,2025-04-09 13:00:00,19.76,76,Clouds,few clouds,4.12,0
Miami,2025-04-09 14:00:00,21.96,66,Clouds,few clouds,5.66,0
Miami,2025-04-09 15:00:00,22.61,65,Clouds,scattered clouds,5.66,0
Miami,2025-04-09 16:00:00,23.66,62,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 17:00:00,24.63,60,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 18:00:00,25.34,57,Clouds,scattered clouds,6.69,0
Miami,2025-04-09 19:00:00,26.6,54,Clouds,scattered clouds,4.63,0
Miami,2025-04-09 20:00:00,26.91,51,Clouds,scattered clouds,4.12,0
Miami,2025-04-09 21:00:00,26.71,53,Clouds,scattered clouds,4.12,0
Miami,2025-04-09 22:00:00,25.51,63,Clouds,scattered clouds,3.6,0
Miami,2025-04-09 23:00:00,24.9,64,Clouds,scattered clouds,5.14,0
Miami,2025-04-10 00:00:00,24.24,68,Clouds,broken clouds,4.12,0
Miami,2025-04-10 01:00:00,23.78,61,Clouds,scattered clouds,1.54,0
Miami,2025-04-10 02:00:00,22.87,68,Clouds,few clouds,3.6,0
Miami,2025-04-10 03:00:00,22.31,72,Clouds,few clouds,5.66,0
Miami,2025-04-10 04:00:00,21.43,76,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 04:00:00,16.4,75,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 05:00:00,16.53,74,Clear,clear sky,3.09,0
Los Angeles,2025-04-09 06:00:00,16.33,73,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 07:00:00,15.77,74,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 08:00:00,16.26,71,Clear,clear sky,0,0
Los Angeles,2025-04-09 09:00:00,15.43,75,Clear,clear sky,0,0
Los Angeles,2025-04-09 10:00:00,14.87,77,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 11:00:00,14.7,77,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 12:00:00,14.58,77,Clear,clear sky,0,0
Los Angeles,2025-04-09 13:00:00,14.35,78,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 14:00:00,15.04,84,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 15:00:00,16.61,76,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 16:00:00,19.02,66,Clear,clear sky,1.54,0
Los Angeles,2025-04-09 17:00:00,21.86,56,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 18:00:00,23.62,51,Clear,clear sky,2.06,0
Los Angeles,2025-04-09 19:00:00,23.78,52,Clear,clear sky,4.63,0
Los Angeles,2025-04-09 20:00:00,24.75,49,Clear,clear sky,5.66,0
Los Angeles,2025-04-09 21:00:00,24.76,50,Clear,clear sky,5.14,0
Los Angeles,2025-04-09 22:00:00,24.62,49,Clear,clear sky,5.14,0
Los Angeles,2025-04-09 23:00:00,24.2,49,Clear,clear sky,5.66,0
Los Angeles,2025-04-10 00:00:00,24.22,47,Clear,clear sky,5.66,0
Los Angeles,2025-04-10 01:00:00,23.6,47,Clear,clear sky,4.12,0
Los Angeles,2025-04-10 02:00:00,20.91,56,Clear,clear sky,3.09,0
Los Angeles,2025-04-10 03:00:00,18.76,66,Clear,clear sky,4.12,0
Los Angeles,2025-04-10 04:00:00,17.99,70,Clear,clear sky,3.6,0
